date,value
2020-04-28,128.6
2020-04-29,127.48
2020-04-30,127.66
2020-05-01,122.61
2020-05-02,129.6
2020-05-03,121.23
2020-05-04,127.25
2020-05-05,132.1
2020-05-06,122.6
2020-05-07,123.91
2020-05-08,125.95
2020-05-09,124.17
2020-05-10,121.06
2020-05-11,125.95
2020-05-12,122.58
2020-05-13,127.22
2020-05-14,123.06
2020-05-15,130.49
2020-05-16,123.51
2020-05-17,124.91
2020-05-18,128.33
2020-05-19,122.21
2020-05-20,126.59
2020-05-21,129.84
2020-05-22,121.1
2020-05-23,126.48
2020-05-24,126.71
2020-05-25,128.28
2020-05-26,122.22
2020-05-27,121.97
2020-05-28,127.49
2020-05-29,126.81
2020-05-30,126.66
2020-05-31,126.94
2020-06-01,123.85
2020-06-02,126.58
2020-06-03,126.74
2020-06-04,123.71
2020-06-05,131.43
2020-06-06,127.24
2020-06-07,122.22
2020-06-08,127.75
2020-06-09,122.83
2020-06-10,128.09
2020-06-11,129.18
2020-06-12,123.22
2020-06-13,128.55
2020-06-14,126.87
2020-06-15,128.07
2020-06-16,131.27
2020-06-17,124.81
2020-06-18,123.26
2020-06-19,122.82
2020-06-20,123.01
2020-06-21,125.19
2020-06-22,126.42
2020-06-23,126.19
2020-06-24,127.81
2020-06-25,125.33
2020-06-26,129.62
2020-06-27,124.43
2020-06-28,133.35
2020-06-29,127.03
2020-06-30,122.55
2020-07-01,121.87
2020-07-02,126.5
2020-07-03,124.35
2020-07-04,127.12
2020-07-05,126.37
2020-07-06,124.69
2020-07-07,122.34
2020-07-08,120.3
2020-07-09,123.47
2020-07-10,127.35
2020-07-11,125.39
2020-07-12,120.98
2020-07-13,125.2
2020-07-14,125.81
2020-07-15,121.97
2020-07-16,125.05
2020-07-17,124.74
2020-07-18,121.1
2020-07-19,125.58
2020-07-20,126.16
2020-07-21,127.7
2020-07-22,127.59
2020-07-23,120.27
2020-07-24,121.57
2020-07-25,125.91
2020-07-26,125.88
2020-07-27,125.87
2020-07-28,135.86
2020-07-29,126.0
2020-07-30,127.68
2020-07-31,127.12
2020-08-01,126.2
2020-08-02,123.29
2020-08-03,126.5
2020-08-04,121.9
2020-08-05,123.5
2020-08-06,122.75
2020-08-07,124.45
2020-08-08,131.15
2020-08-09,118.6
2020-08-10,126.27
2020-08-11,119.37
2020-08-12,122.8
2020-08-13,127.49
2020-08-14,124.43
2020-08-15,121.02
2020-08-16,122.12
2020-08-17,126.32
2020-08-18,122.11
2020-08-19,124.97
2020-08-20,124.48
2020-08-21,122.41
2020-08-22,130.83
2020-08-23,126.33
2020-08-24,118.38
2020-08-25,125.05
2020-08-26,122.54
2020-08-27,127.12
2020-08-28,122.23
2020-08-29,124.31
2020-08-30,126.21
2020-08-31,127.34
2020-09-01,121.2
2020-09-02,123.85
2020-09-03,123.49
2020-09-04,123.01
2020-09-05,130.33
2020-09-06,126.31
2020-09-07,121.38
2020-09-08,127.99
2020-09-09,131.67
2020-09-10,128.48
2020-09-11,120.9
2020-09-12,124.09
2020-09-13,129.43
2020-09-14,123.59
2020-09-15,127.14
2020-09-16,128.22
2020-09-17,123.21
2020-09-18,125.91
2020-09-19,116.47
2020-09-20,123.22
2020-09-21,125.65
2020-09-22,122.77
2020-09-23,131.52
2020-09-24,122.45
2020-09-25,125.54
2020-09-26,127.38
2020-09-27,131.43
2020-09-28,122.93
2020-09-29,130.86
2020-09-30,127.53
2020-10-01,124.69
2020-10-02,129.16
2020-10-03,128.52
2020-10-04,126.26
2020-10-05,128.42
2020-10-06,127.21
2020-10-07,128.86
2020-10-08,130.66
2020-10-09,133.59
2020-10-10,125.29
2020-10-11,135.57
2020-10-12,123.48
2020-10-13,129.05
2020-10-14,131.45
2020-10-15,130.7
2020-10-16,128.17
2020-10-17,129.6
2020-10-18,128.93
2020-10-19,128.83
2020-10-20,133.34
2020-10-21,132.06
2020-10-22,129.1
2020-10-23,134.08
2020-10-24,132.51
2020-10-25,134.23
2020-10-26,133.89
2020-10-27,129.73
2020-10-28,130.75
2020-10-29,134.88
2020-10-30,134.69
2020-10-31,133.02
2020-11-01,133.66
2020-11-02,137.37
2020-11-03,131.99
2020-11-04,135.64
2020-11-05,133.62
2020-11-06,133.81
2020-11-07,138.0
2020-11-08,137.42
2020-11-09,137.63
2020-11-10,139.35
2020-11-11,135.75
2020-11-12,137.98
2020-11-13,135.26
2020-11-14,137.42
2020-11-15,136.31
2020-11-16,137.25
2020-11-17,139.01
2020-11-18,135.03
2020-11-19,144.03
2020-11-20,135.0
2020-11-21,134.65
2020-11-22,142.03
2020-11-23,141.21
2020-11-24,140.98
2020-11-25,141.27
2020-11-26,139.63
2020-11-27,137.25
2020-11-28,140.45
2020-11-29,138.48
2020-11-30,143.72
2020-12-01,140.64
2020-12-02,138.89
2020-12-03,140.69
2020-12-04,143.19
2020-12-05,140.55
2020-12-06,140.06
2020-12-07,143.56
2020-12-08,143.86
2020-12-09,141.9
2020-12-10,142.3
2020-12-11,144.71
2020-12-12,139.97
2020-12-13,140.39
2020-12-14,142.76
2020-12-15,144.58
2020-12-16,146.46
2020-12-17,150.25
2020-12-18,148.71
2020-12-19,145.96
2020-12-20,146.69
2020-12-21,144.04
2020-12-22,147.3
2020-12-23,146.8
2020-12-24,148.94
2020-12-25,145.8
2020-12-26,150.15
2020-12-27,153.5
2020-12-28,148.88
2020-12-29,150.72
2020-12-30,151.9
